id	institution sameAs	institution	idno_institution	idno_Atlas	idno type=TopBib	alias	type	povenance id	provenance	note type=def	note type=Mariette
CoEg_obj_00000001	CoEg_org_00000002	Musée du Louvre	A 26	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=31644			statue		#N/D	Sphinx (Basse-Époque, XXIXe dynastie)	
CoEg_obj_00000002	CoEg_org_00000002	Musée du Louvre	N 391	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18923			statue	CoEg_place_00000004	Sérapéum	Six sphinx (époque ptolémaïque ; fouilles du Sérapéum)	
CoEg_obj_00000003	CoEg_org_00000002	Musée du Louvre	C 318	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18925			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) originellement encastrée dans le socle du lion N 432 A	
CoEg_obj_00000004	CoEg_org_00000002	Musée du Louvre	N 432 A	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18924			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum) ; son socle abritait la stèle C 318	
CoEg_obj_00000005	CoEg_org_00000002	Musée du Louvre	N 432 B	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18934			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000006	CoEg_org_00000002	Musée du Louvre	N 432 C	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18930			statue	CoEg_place_00000004	Sérapéum	Lion (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000007	CoEg_org_00000002	Musée du Louvre	N 390	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20284			statue	CoEg_place_00000004	Sérapéum	Statue d'Apis (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000008	CoEg_org_00000002	Musée du Louvre	E 3023	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=14135			statue	CoEg_place_00000004	Sérapéum	'Le « Scribe accroupi » ([Ancien Empire,Ive-Ve dynastie ?] ; fouilles du Sérapéum)	
CoEg_obj_00000009	CoEg_org_00000002	Musée du Louvre	N 405	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20285			stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque ; XXVIe dynastie ; fouilles du Sérapéum)	Reproduite dans Mariette, Auguste, Choix de monuments et de dessins découverts ou exécutés pendant le déblaiement du Sérapéum de Memphis, Paris, Gide et J. Baudry, 1856, pl. 7 (https://gallica.bnf.fr/ark:/12148/bpt6k3041140v/f31.image)
CoEg_obj_00000010	CoEg_org_00000002	Musée du Louvre	N 413	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=27866			stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie ; fouilles du Sérapéum)	
CoEg_obj_00000011	CoEg_org_00000002	Musée du Louvre	A 90			N 91	statue		#N/D	Statue de Neshor présentant une triade (Basse-Époque, XXVIe dynastie). Autre numéro d'inventaire : N 91.	
CoEg_obj_00000012	CoEg_org_00000002	Musée du Louvre	N 420	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=18928			misc	CoEg_place_00000004	Sérapéum	Porte (fouilles du Sérapéum)	Mariette lui a attribué le numéro 5
CoEg_obj_00000013	CoEg_org_00000002	Musée du Louvre	N 394 1 A à D	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=23158			misc	CoEg_place_00000004	Sérapéum	Vases canopes d'Apis réalisés sous Amenhotep III	
CoEg_obj_00000014	CoEg_org_00000002	Musée du Louvre	N 394 2 A à D	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=27861			misc	CoEg_place_00000004	Sérapéum	Vases canopes d'Apis réalises sous Toutânkhamon	
CoEg_obj_00000015	CoEg_org_00000002	Musée du Louvre	N 407				stela	CoEg_place_00000004	Sérapéum	Stèle (Basse-Époque, XXVIIe dynastie)	
CoEg_obj_00000016	CoEg_org_00000002	Musée du Louvre	N 481				stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : AF 123	
CoEg_obj_00000017	CoEg_org_00000002	Musée du Louvre	N 488				stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie)	
CoEg_obj_00000018	CoEg_org_00000002	Musée du Louvre	IM 3736				stela	CoEg_place_00000004	Sérapéum	Stèle (Troisième Période intermédiaire, XXIIe dynastie). Autre numéro d'inventaire : S 1905	
CoEg_obj_00000019	CoEg_org_00000002	Musée du Louvre	N 347	http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=20282&langue=fr			statue	CoEg_place_00000004	Sérapéum	Statue de Bès (Basse-Époque, XXXe dynastie ; fouilles du Sérapéum)	Mariette utilise le nom de Typhon
